for_sorting,lemma_la,lemma_mkh,gender_la,gender_modified,etymologies,sharedgrammaticalinfo,partofspeech_1,morphology_la,ka,en,ru,source
a,aa,აა,,,,,,,,,,"**აა** *ნაწ*. -ც, აგრეთვე, ასევე"
a,aag,ააგ,j d,F,,n,,aagi; ageⁿ,"ბებია, ბებო",grandmother,бабушка,"**ააგ** *ჲ დ* (ააგი; აგეჼ) ბებია, ბებო"
a,aalĕ,აალე̆,v b,M,,n,,aaleⁿ,ბატონი,"lord, sir",господин,**აალე̆** *ვ ბ* (აალეჼ) ბატონი
a,aasĕ,აასე̆,d d,D,,n,,asi; aseⁿ,ხბო,calf,теленок,**აასე̆** *დ დ* (ასი; ასეჼ) ხბო
a,ab,აბ,d d,D,GE,n,,abi; abeⁿ,აბი,pill,пилюля,**აბ** *დ დ* (აბი; აბეჼ) აბი
a,abar,აბარ,,,,vt,,,"შეკერვა (შეკერავს, კერავს)",sew,"шить, сшить","**აბარ** გრდმ. შეკერვა (შეკერავს, კერავს)"
a,abargod-d-alar,აბარგოდ-დ-ალარ,,,GE,vi,,,აბარგება (აიბარგება),"resettle, move","собрать пожитки, уложить вещи",**აბარგოდ-დ-ალარ** აბარგება (აიბარგება)
a,abinŏ,აბინო̆,,,,,,,,,,**აბინო̆** მიმღ. შეკერილი
a,abno,აბნო,j j,J,GE,n,,abnuj; abnujⁿ,აბანო,bath,баня,**აბნო** *ჲ ჲ* (აბნუჲ; აბნუჲჼ) აბანო
a,abr,,,D,GE,n,,,"აბრა, საწონი",makeweight,довесок (для уравнения весов),
a,abujnĭ,აბუჲნი̆,,,,,,,,,,**აბუჲნი̆** მიმღ. 1. შესაკერი 2. მკერავი
a,aburʒgnad-d-alar,აბურძგნად-დ-ალარ,,,GE,vi,,,აბურძგნა (აიბურძგნება),"be tousled, ruffled",взъерошиться,**აბურძგნად-დ-ალარ** გრდუვ. აბურძგნა (აიბურძგნება)
a,abžontʼ,აბჟონტ,d d,D,,n,,abžontʼi; abžontʼeⁿ,"უზანგი, ავჟანდა",stirrup,стремя,**აბჟონტ** *დ დ* (აბჟონტი; აბჟონტეჼ) უზანგი
a,abžontʼicʼiⁿ,აბჟონტიწიჼ,,,,,,,,,,**აბჟონტიწიჼ** უუზანგო[დ]
a,acʼecʼad-d-alar,აწეწად-დ-ალარ,,,GE,vi,,,"აწეწა (აიწეწება), აბურდვა, აძენძა",be tangled,"растерпаться, перепутаться, вхлохматиться","**აწეწად-დ-ალარ** გრდუვ. აწეწა (აიწეწება), აბურდვა, აძენძა"
a,acʼecʼad-d-ar,აწეწად-დ-არ,,,GE,vt,,,"აწეწა, აძენძა, აბურდავა","tangle, dishevel","растрепать, перепутать, взлохматить","**აწეწად-დ-არ** გრდმ. აწეწა, აძენძა, აბურდვა უსრ. წეწად-[დ]არ"
a,acʼerad-d-ar,აწერად-დ-არ,,,GE,vt,,,აღწერა,list,описать,**აწერად-დ-არ** გრდმ. აღწერა
a,adgil,ადგილ,j j,J,GE,n,,ajdgli; ajdgleⁿ,ადგილი,place,место,**ადგილ** *ჲ ჲ* (აჲდგლი; აჲდგლეჼ) ადგილი
a,adl,ადლ,d d,D,GE,n,,adleⁿ,ადლი,"yard, meter",аршин,**ადლ** *დ დ* (ადლეჼ) ადლი
a,admi[a]nob,ადმი[ა]ნობ,d,,,,,,,,,**ადმი[ა]ნობ** *დ* ადამიანობა
a,"admianğeš, adm[i]nğeš","ადმიანღეშ, ადმ[ი]ნღეშ",,,,,,,,,,"**ადმიანღეშ, ადმ[ი]ნღეშ** ზმნს. ადამიანურად"
a,"admianğeⁿ, adm[i]enğeⁿ","ადმიანღეჼ, ადმ[ი]ენღეჼ",,,,,,,,,,"**ადმიანღეჼ, ადმ[ი]ენღეჼ** ადამიანური, ადამიანისებური"
a,admiaⁿ,,,D,GE,n,,,ადამიანი,person,человек,
a,"admiaⁿ, admieⁿ","ადმიაჼ, ადმიეჼ",d d,,,,,admini; admieⁿ,,,,"**ადმიაჼ, ადმიეჼ** *დ დ* (ადმინი; ადმიეჼ) ადამიანი"
a,agrilbad-d-alar,აგრილბად-დ-ალარ,,,GE,vi,,,აგრილება ([ა]გრილდება),cool down,(с)делаться прохладным,**აგრილბად-დ-ალარ** გრდუვ. აგრილება ([ა]გრილდება)
a,agrilbad-d-ar,აგრილბად-დ-არ,,,GE,vi,,,გაგრილება (გააგრილებს),cool sth down,охладить,**აგრილბად-დ-არ** გრდუვ. გაგრილება (გააგრილებს)
a,agur,აგურ,j j,J,GE,n,,"aŭgri, ougri; aŭgreⁿ",აგური,brick,кирпич,"**აგურ** (აუ̆გრი, ოუგრი; აუ̆გრეჼ )*ჲ ჲ* აგური"
a,agvistʼŏ,აგვისტო̆,b,B,GE,n,,agvistʼujⁿ,აგვისტო,August,август,**აგვისტო̆** *ბ* (აგვისტუჲჼ) აგვისტო
a,aji,აჲი,,,GE,ptcl,,,აი,(deictic particle),вот,**აჲი** აი
a,ajkmob,აჲქმობ,d,,,,,,,,,"**აჲქმობ** *დ* ექიმობა, მკურნალობა"
a,ajmrikʼ,აჲმრიკ,d,D,,n,,ajmrikʼeⁿ,მიტკალი,calico,миткаль,**აჲმრიკ** *დ* (აჲმრიკეჼ) მიტკალი
a,ajngršeba[d]-d-ar,აჲნგრშება[დ]-დ-არ,,,,,,,,,,**აჲნგრშება[დ]-დ-არ** გრდმ. ანგარიში (იანგარიშებს)
a,ajngršebad-d-ar,,,,GE,vt,,,ანგარიში (იანგარიშებს),"calculate, count","подсчитать, подсчитывать",
a,ajnŏ,,,,,ptcl,,,ო,said,говорить,
a,ajpša-d-aqar,აჲფშა-დ-აჴარ,,,,,,,,,,**აჲფშა-დ-აჴარ** გრდმ.. მტყუანად გამოყვანა იხ. დ-აჴარ1
a,ajpʼqʼ-d-isar,აჲპყ-დ-ისარ,,,,vi,,,ჩაფლობა (ჩაეფლობა),"sink, get bogged down",увязнуть,**აჲპყ-დ-ისარ** გრდუვ. ჩაფლობა (ჩაეფლობა)იხ. დ-ისარ
a,"ajpʼral, ajpʼrel","აჲპრალ, აჲპრელ",b d,,,,,ajpʼrleⁿ,,,,"**აჲპრალ, აჲპრელ** *ბ დ* (აჲპრლეჼ) აპრილი"
a,ajpʼrel,,,B,GE,n,,,აპრილი,April,апрель,
a,ajqʼĭ,აჲყი̆,b d,B,,n,,"ajqʼi, ejqʼi; ajqʼeⁿ","სიპი ქვა, ფიქალი","smooth rock, slate","шифер, сланец","**აჲყი̆** *ბ დ* (აჲყი, ეჲყი; აჲყეჼ) სიპი ქვა, ფიქალი"
a,ajrkel,აჲრქელ,v b,M,GE,n,,ajrkleⁿ,არქიელი,church hierarch,архиерей,**აჲრქელ** *ვ ბ* (აჲრქლეჼ) არქიელი
a,ajrɬ,აჲრლ’,b d,B,,n,,arɬuj; arɬoⁿ,"ყოჩი, ერკემალი","uncastrated ram, stud ram",баран производитель,"**აჲრლ’** *ბ დ* (არლ’უჲ; არლ’ოჼ) ყოჩი, ერკემალი"
a,ajtaɁŏ,აჲთაჸო̆,,M/F,,n,,ajtaɁuj; ajtaɁujⁿ,ნათლია,godparent,"крестный отец, мать, восприемник",**აჲთაჸო̆** დ დ (აჲთაჸუჲ; აჲთაჸუჲჼ) ნათლია
a,ajtʼno,აჲტნო,d d,D,,n,,,სიჩუმე,silence,тишина,**აჲტნო** *დ დ* სიჩუმე
a,ajtʼtʼvecʼiⁿ,აჲტტვეწიჼ,,,,,,,,,,**აჲტტვეწიჼ** უიღბლო[დ]
a,ajtʼtʼveⁿ,აჲტტვეჼ,,,,a,,,ბედნიერი,"happy, lucky",счастливый,**აჲტტვეჼ** ბედნიერი იხ. ატტივ
a,ajxno,აჲხნო,d d,,,,,ajxnoⁿ,,,,"**აჲხნო** *დ დ* (აჲხნოჼ) მოხნული, ნახნავი"
a,ajxnĭ,აჲხნი̆,d,D,,n,,,ნართი,(spun) yarn,"пряжа, прядь",**აჲხნი̆** *დ*  ნართი
a,ajħĭ,აჲჰ’ი̆,d,0d,,n,,ajħiⁿ,ნაწლავი,gut,кишка,**აჲჰ’ი̆** *დ* (აჲჰ’იჼ) ნაწლავი
a,ajš[ŭ],აჲშ[უ̆],,,,,,,,,,**აჲშ[უ̆]** ერგატივი იხ. შუ
a,ajšŭ,,,,,pro pers,,,,you (pl. erg.),,
a,aka,აქა,j,,,,,,,,,**აქა** *ჲ* ზედაპირი
a,akandaz,აქანდაზ,d d,D,GE,n,,akandazi,აქანდაზი,"dust-pan, scoop",совок,**აქანდაზ** *დ დ* (აქანდაზი) აქანდაზი
a,akaħ,აქაჰ’,,,,,,,,,,"**აქაჰ’** ზმნს. ზედ, ზევით"
a,akim,აქიმ,v b; j d,M/F,GE; Arab.,n,,"ajkmi, ajkmeⁿ",ექიმი,doctor,врач,"**აქიმ** *ვ ბ; ჲ დ* (აჲქმი, აჲქმეჼ) ექიმიიხ. დოხტურ."
